epoch,loss,lr,val_loss
0,3.4907832458019254,0.001,2.882369196434624
1,2.8079456133842466,0.001,2.678588424980345
2,2.6237481496334074,0.001,2.5749200324184685
3,2.4520607697963714,0.001,2.4529045670416467
4,2.341731650829315,0.001,2.3589321510658543
5,2.254178474187851,0.001,2.3726295518639007
6,2.192894849181175,0.001,2.291777812543553
7,2.14930352973938,0.001,2.3809265179106776
8,2.118604480743408,0.001,2.2241784654622707
9,2.0667818648815155,0.001,2.2418838973541186
